source,target,http_code,notes
/actiprobe-2k-screening-starter-kit-library/print.html,/actiprobe-2k-screening-starter-kit-library/print/,301,Untitled
/actiprobe-10k-library/print.html,/actiprobe-10k-library/print/,301,Untitled
/actiprobe-25k/print.html,/actiprobe-25k/print/,301,Untitled
/actiglobe-50k/print.html,/actiglobe-50k/print/,301,Untitled
/apexscreen-compound-library/print.html,/apexscreen-compound-library/print/,301,Untitled
/bam15-st056388.html,/bam15-st056388/,301,bam15-st056388
/diversity-screening-set-10k/print.html,/diversity-screening-set-10k/print/,301,Untitled
/myriascreen-diversity-collection/print.html,/myriascreen-diversity-collection/print/,301,Untitled
/natural-compound-library/print.html,/natural-compound-library/print/,301,Untitled
/hdm-inhibitor-st057529.html,/hdm-inhibitor-st057529/,301,hdm-inhibitor-st057529
/flavonoid-derivatives.html,/flavonoid-derivatives/,301,flavonoid-derivatives
/plant-extracts.html,/plant-extracts/,301,plant-extracts
/ndl-3000-natural-derivatives-library/print.html,/ndl-3000-natural-derivatives-library/print/,301,Untitled
/flavonoid-derivatives/print.html,/flavonoid-derivatives/print/,301,Untitled
/gossypol-and-derivatives/print.html,/gossypol-and-derivatives/print/,301,Untitled
/gossypol-and-derivatives.html,/gossypol-and-derivatives/,301,gossypol-and-derivatives
/gossypol-derivatives/print.html,/gossypol-derivatives/print/,301,Untitled
/gossypol-msds/print.html,/gossypol-msds/print/,301,Untitled
/gossypol-certificate-of-analysis/print.html,/gossypol-certificate-of-analysis/print/,301,Untitled
/plant-extracts/print.html,/plant-extracts/print/,301,Untitled
/natural-compound-library.html,/natural-compound-library/,301,natural-compound-library
/ndl-3000-natural-derivatives-library.html,/ndl-3000-natural-derivatives-library/,301,ndl-3000-natural-derivatives-library
/plants-in-stock-from-a-to-b/print.html,/plants-in-stock-from-a-to-b/print/,301,Untitled
/plants-in-stock-from-c-to-f/print.html,/plants-in-stock-from-c-to-f/print/,301,Untitled
/plants-in-stock-from-g-to-l/print.html,/plants-in-stock-from-g-to-l/print/,301,Untitled
/plants-in-stock-from-m-to-r/print.html,/plants-in-stock-from-m-to-r/print/,301,Untitled
/plants-in-stock-from-s-to-z/print.html,/plants-in-stock-from-s-to-z/print/,301,Untitled
/natural-products-in-publications/print.html,/natural-products-in-publications/print/,301,Untitled
/featured-natural-compounds/print.html,/featured-natural-compounds/print/,301,Untitled
/genipin/print.html,/genipin/print/,301,Untitled
/monastrol-mitosis-inhibitor/print.html,/monastrol-mitosis-inhibitor/print/,301,Untitled
