source_path,source_url,title,post_type,wp_slug,content_length
/news/blog/natural-product-library-is-now-composed-of-800-pure-natural-compounds-npl-800.html,https://www.timtec.net/news/blog/natural-product-library-is-now-composed-of-800-pure-natural-compounds-npl-800.html,natural-product-library-is-now-composed-of-800-pure-natural-compounds-npl-800,post,news/blog/natural-product-library-is-now-composed-of-800-pure-natural-compounds-npl-800,273
/news/blog/privileged-structures-mesoionic-aminomorpholines-and-dihydropyridines.html,https://www.timtec.net/news/blog/privileged-structures-mesoionic-aminomorpholines-and-dihydropyridines.html,privileged-structures-mesoionic-aminomorpholines-and-dihydropyridines,post,news/blog/privileged-structures-mesoionic-aminomorpholines-and-dihydropyridines,259
/news/new-products/natural-product-library-is-now-composed-of-800-pure-natural-compounds-npl-800.html,https://www.timtec.net/news/new-products/natural-product-library-is-now-composed-of-800-pure-natural-compounds-npl-800.html,natural-product-library-is-now-composed-of-800-pure-natural-compounds-npl-800,post,news/new-products/natural-product-library-is-now-composed-of-800-pure-natural-compounds-npl-800,281
/news/new-products/ancient-chinese-cures-translate-into-modern-western-medicines.html,https://www.timtec.net/news/new-products/ancient-chinese-cures-translate-into-modern-western-medicines.html,ancient-chinese-cures-translate-into-modern-western-medicines,post,news/new-products/ancient-chinese-cures-translate-into-modern-western-medicines,248
/acticom-collection-of-active-compounds.html,https://www.timtec.net/acticom-collection-of-active-compounds.html,acticom-collection-of-active-compounds,page,acticom-collection-of-active-compounds,184
/acticom-collection-of-active-compounds.html,https://www.timtec.net/acticom-collection-of-active-compounds.html,acticom-collection-of-active-compounds,page,acticom-collection-of-active-compounds,184
/news/new-products/acticom-480-active-compounds-with-known-activities.html,https://www.timtec.net/news/new-products/acticom-480-active-compounds-with-known-activities.html,acticom-480-active-compounds-with-known-activities,post,news/new-products/acticom-480-active-compounds-with-known-activities,227
/news/new-products/inhibitors-of-anthrax-lf-and-activators-of-neutrophils.html,https://www.timtec.net/news/new-products/inhibitors-of-anthrax-lf-and-activators-of-neutrophils.html,inhibitors-of-anthrax-lf-and-activators-of-neutrophils,post,news/new-products/inhibitors-of-anthrax-lf-and-activators-of-neutrophils,234
/lost-password.html,https://www.timtec.net/lost-password.html,Forgot your Password?,page,lost-password,38281
/lost-user-name.html,https://www.timtec.net/lost-user-name.html,Forgot your Username?,page,lost-user-name,38235
/apexscreen-compound-library.html,https://www.timtec.net/apexscreen-compound-library.html,apexscreen-compound-library,page,apexscreen-compound-library,162
/terms-of-sale.html,https://www.timtec.net/terms-of-sale.html,terms-of-sale,page,terms-of-sale,134
/phocadownload.html,https://www.timtec.net/phocadownload.html,"TimTec Compound Libraries for Screening, Chemical Building Blocks",page,phocadownload,38174
/category/1-hts-compounds-for-screening.html,https://www.timtec.net/category/1-hts-compounds-for-screening.html,Download Databases,category,category/1-hts-compounds-for-screening,27038
/category/2-bb-build-blocks.html,https://www.timtec.net/category/2-bb-build-blocks.html,Download Databases,category,category/2-bb-build-blocks,27295
/category/3-library-collections.html,https://www.timtec.net/category/3-library-collections.html,Download Databases,category,category/3-library-collections,26312
/screening-compound-libraries/print.html,https://www.timtec.net/screening-compound-libraries/print.html,Untitled,page,screening-compound-libraries/print,164
